Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C100, C101, C102, C103, C104, C105, C106, C107, C109, C11, C110, C111, C112, C113, C114, C115, C116, C118, C119, C12, C120, C121, C122, C123, C124, C125, C127, C128, C129, C13, C130, C131, C132, C133, C134, C136, C137, C138, C139, C14, C140, C141, C142, C143, C145, C146, C147, C148, C149, C15, C150, C151, C152, C154, C155, C156, C157, C158, C159, C16, C160, C161, C163, C164, C165, C166, C167, C168, C169, C17, C170, C172, C173, C174, C175, C176, C177, C178, C179, C181, C182, C183, C184, C185, C186, C187, C188, C19, C190, C191, C192, C193, C194, C195, C196, C197, C199, C2, C20, C200, C201, C202, C203, C204, C205, C206, C208, C209, C21, C210, C211, C212, C213, C214, C215, C217, C218, C219, C22, C220, C221, C222, C223, C224, C226, C227, C228, C229, C23, C230, C231, C232, C233, C235, C236, C237, C238, C239, C24, C240, C241, C242, C244, C245, C246, C247, C248, C249, C25, C250, C251, C253, C254, C255, C256, C257, C258, C259, C26, C260, C28, C29, C3, C30, C31, C32, C33, C34, C35, C37, C38, C39, C4, C40, C41, C42, C43, C44, C46, C47, C48, C49, C5, C50, C51, C52, C53, C55, C56, C57, C58, C59, C6, C60, C61, C62, C64, C65",C_0201,200,100nF,C76934
"C66, C67, C68, C69, C7, C70, C71, C73, C74, C75, C76, C77, C78, C79, C8, C80, C82, C83, C84, C85, C86, C87, C88, C89, C91, C92, C93, C94, C95, C96, C97, C98",C_0201,32,100nF,C76934
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D13, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D14, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D15, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D16, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D17, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D18, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D19, D190, D191, D192, D193, D194, D195, D196, D197, D198, D199, D2, D20, D200, D201, D202, D203, D204, D205, D206, D207, D208, D209, D21, D210, D211, D212, D213, D214, D215, D216, D217, D218, D219, D22, D220, D221, D222, D223, D224, D225, D226, D227, D228, D229, D23, D230, D231, D232, D233, D234, D235, D236, D237, D238, D239, D24, D240, D241, D242, D243, D244, D245, D246, D247, D248, D249, D25, D250, D251, D252, D253, D254, D255, D256, D257, D258, D259, D26, D260, D261, D262, D263, D264, D265, D266, D267, D268, D269, D27, D270, D28, D29, D3, D30, D31, D32, D33, D34, D35",SMD1615,200,XL-1010RGBC-WS2812B,C5349954
"D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",SMD1615,70,XL-1010RGBC-WS2812B,C5349954
"TP1, TP2, TP3, TP4, TP5, TP6",PAD-2mm,6,TestPoint,
